,base_name,label,x,y,r,complete
47,VID_20220217_112247_F0.png,baya,599,337,18.48351,True
49,VID_20220217_112247_F0.png,baya,722,390,21.16979,True
51,VID_20220217_112247_F0.png,baya,575,309,15.6016,True
53,VID_20220217_112247_F0.png,baya,643,460,15.70637,True
55,VID_20220217_112247_F0.png,baya,918,375,20.35387,True
57,VID_20220217_112247_F0.png,val_2,380,170,NULL,False
61,VID_20220217_112247_F0.png,val_1,352,169,NULL,False
62,VID_20220217_112247_F0.png,keypoint,878,513,NULL,False
64,VID_20220217_112247_F0.png,cal_2,655,174,NULL,False
65,VID_20220217_112247_F0.png,keypoint,835,631,NULL,False
66,VID_20220217_112247_F0.png,baya,623,304,21.27769,True
68,VID_20220217_112247_F0.png,baya,666,424,23.70021,True
70,VID_20220217_112247_F0.png,baya,891,447,19.19088,True
72,VID_20220217_112247_F0.png,baya,812,439,22.00568,True
74,VID_20220217_112247_F0.png,baya,935,431,21.24618,True
76,VID_20220217_112247_F0.png,baya,670,372,19.18463,True
78,VID_20220217_112247_F0.png,baya,726,254,19.13792,True
0,VID_20220217_112220_F0.png,baya,920,339,24.82841,True
2,VID_20220217_112220_F0.png,baya,611,224,22.19955,True
4,VID_20220217_112220_F0.png,baya,604,394,24.24912,True
6,VID_20220217_112220_F0.png,baya,826,433,18.31529,True
8,VID_20220217_112220_F0.png,baya,578,252,25.60703,True
11,VID_20220217_112220_F0.png,keypoint,413,654,NULL,False
13,VID_20220217_112220_F0.png,keypoint,866,665,NULL,False
14,VID_20220217_112220_F0.png,baya,885,446,19.06545,True
16,VID_20220217_112220_F0.png,val_1,278,170,NULL,False
19,VID_20220217_112220_F0.png,val_2,424,170,NULL,False
20,VID_20220217_112220_F0.png,baya,761,318,23.66981,True
23,VID_20220217_112220_F0.png,val_1,336,170,NULL,False
25,VID_20220217_112220_F0.png,cal_1,601,168,NULL,False
28,VID_20220217_112220_F0.png,keypoint,911,533,NULL,False
29,VID_20220217_112220_F0.png,val_2,365,170,NULL,False
32,VID_20220217_112220_F0.png,cal_2,660,168,NULL,False
33,VID_20220217_112220_F0.png,keypoint,556,595,NULL,False
34,VID_20220217_112220_F0.png,baya,735,309,27.85678,True
36,VID_20220217_112220_F0.png,baya,825,325,23.88912,True
38,VID_20220217_112220_F0.png,baya,851,353,26.38788,True
40,VID_20220217_112220_F0.png,baya,643,208,21.15396,True
42,VID_20220217_112220_F0.png,baya,871,440,24.76308,True
44,VID_20220217_112220_F0.png,baya,924,447,21.66679,True
46,VID_20220217_112220_F0.png,baya,675,248,24.82841,True
48,VID_20220217_112220_F0.png,baya,943,378,24.19607,True
50,VID_20220217_112220_F0.png,baya,636,293,13.94023,True
52,VID_20220217_112220_F0.png,baya,698,303,22.35442,True
54,VID_20220217_112220_F0.png,baya,654,317,23.22154,True
56,VID_20220217_112220_F0.png,baya,559,294,24.05598,True
58,VID_20220217_112220_F0.png,baya,956,418,21.99659,True
60,VID_20220217_112220_F0.png,baya,765,428,25.34423,True
62,VID_20220217_112220_F0.png,baya,656,436,25.74743,True
64,VID_20220217_112220_F0.png,baya,605,409,26.50453,True
66,VID_20220217_112220_F0.png,baya,721,379,24.84713,True
68,VID_20220217_112220_F0.png,baya,669,207,23.32145,True
70,VID_20220217_112220_F0.png,baya,687,344,24.22437,True
72,VID_20220217_112220_F0.png,baya,702,409,25.6784,True
74,VID_20220217_112220_F0.png,baya,866,349,25.39488,True
76,VID_20220217_112220_F0.png,baya,619,257,22.98391,True
0,VID_20220217_112149_F0.png,baya,739,390,27.20948,True
2,VID_20220217_112149_F0.png,baya,657,328,28.10697,True
4,VID_20220217_112149_F0.png,baya,827,320,24.53485,True
6,VID_20220217_112149_F0.png,baya,729,257,23.02628,True
8,VID_20220217_112149_F0.png,baya,798,467,26.54929,True
10,VID_20220217_112149_F0.png,baya,610,414,25.97339,True
13,VID_20220217_112149_F0.png,keypoint,1013,598,NULL,False
14,VID_20220217_112149_F0.png,cal_1,454,190,NULL,False
16,VID_20220217_112149_F0.png,baya,825,298,24.52565,True
18,VID_20220217_112149_F0.png,baya,664,419,26.36728,True
20,VID_20220217_112149_F0.png,val_1,274,190,NULL,False
22,VID_20220217_112149_F0.png,baya,516,355,24.64578,True
24,VID_20220217_112149_F0.png,baya,866,335,25.73807,True
27,VID_20220217_112149_F0.png,baya,706,334,27.51518,True
29,VID_20220217_112149_F0.png,baya,786,307,30.81793,True
31,VID_20220217_112149_F0.png,baya,857,361,28.75739,True
34,VID_20220217_112149_F0.png,val_1,334,190,NULL,False
35,VID_20220217_112149_F0.png,baya,617,272,27.24999,True
37,VID_20220217_112149_F0.png,baya,816,426,29.19765,True
39,VID_20220217_112149_F0.png,baya,639,454,24.89463,True
41,VID_20220217_112149_F0.png,baya,884,384,25.81275,True
44,VID_20220217_112149_F0.png,val_2,424,190,NULL,False
45,VID_20220217_112149_F0.png,baya,862,407,29.17871,True
47,VID_20220217_112149_F0.png,baya,595,325,26.27062,True
49,VID_20220217_112149_F0.png,baya,669,316,25.8383,True
51,VID_20220217_112149_F0.png,val_2,364,190,NULL,False
53,VID_20220217_112149_F0.png,baya,548,347,27.49907,True
55,VID_20220217_112149_F0.png,baya,808,362,29.46769,True
57,VID_20220217_112149_F0.png,baya,591,337,29.67599,True
59,VID_20220217_112149_F0.png,baya,573,274,28.17651,True
61,VID_20220217_112149_F0.png,baya,556,401,25.13146,True
63,VID_20220217_112149_F0.png,baya,756,349,26.2827,True
65,VID_20220217_112149_F0.png,baya,847,456,25.15971,True
67,VID_20220217_112149_F0.png,keypoint,565,625,NULL,False
68,VID_20220217_112149_F0.png,baya,735,305,25.35117,True
71,VID_20220217_112149_F0.png,cal_2,515,190,NULL,False
72,VID_20220217_112149_F0.png,baya,545,263,27.2713,True
74,VID_20220217_112149_F0.png,keypoint,420,681,NULL,False
76,VID_20220217_112149_F0.png,baya,636,358,26.34215,True
79,VID_20220217_112149_F0.png,baya,768,429,27.28545,True
81,VID_20220217_112149_F0.png,baya,550,312,24.41929,True
83,VID_20220217_112149_F0.png,baya,882,437,28.10705,True
85,VID_20220217_112149_F0.png,baya,600,407,27.893,True
87,VID_20220217_112149_F0.png,baya,696,271,29.1579,True
89,VID_20220217_112149_F0.png,keypoint,304,484,NULL,False
90,VID_20220217_112149_F0.png,baya,665,261,26.27567,True
0,VID_20220217_112117_F0.png,baya,711,367,28.18883,True
2,VID_20220217_112117_F0.png,baya,747,254,28.21152,True
4,VID_20220217_112117_F0.png,baya,677,299,21.37592,True
6,VID_20220217_112117_F0.png,keypoint,408,654,NULL,False
7,VID_20220217_112117_F0.png,keypoint,916,535,NULL,False
8,VID_20220217_112117_F0.png,baya,801,428,29.14138,True
10,VID_20220217_112117_F0.png,val_2,360,158,NULL,False
12,VID_20220217_112117_F0.png,baya,755,401,26.70917,True
15,VID_20220217_112117_F0.png,val_2,420,159,NULL,False
16,VID_20220217_112117_F0.png,baya,634,467,25.5384,True
18,VID_20220217_112117_F0.png,baya,582,297,28.39172,True
20,VID_20220217_112117_F0.png,baya,593,424,27.40894,True
22,VID_20220217_112117_F0.png,baya,805,367,30.09751,True
24,VID_20220217_112117_F0.png,baya,657,359,26.47565,True
26,VID_20220217_112117_F0.png,baya,738,454,29.32883,True
29,VID_20220217_112117_F0.png,baya,677,255,26.00942,True
32,VID_20220217_112117_F0.png,baya,797,295,26.2688,True
34,VID_20220217_112117_F0.png,baya,851,334,29.4727,True
36,VID_20220217_112117_F0.png,baya,879,294,23.64445,True
38,VID_20220217_112117_F0.png,baya,674,473,27.73049,True
40,VID_20220217_112117_F0.png,cal_1,601,159,NULL,False
42,VID_20220217_112117_F0.png,baya,798,244,24.2157,True
46,VID_20220217_112117_F0.png,cal_2,662,159,NULL,False
47,VID_20220217_112117_F0.png,baya,845,225,25.1873,True
49,VID_20220217_112117_F0.png,baya,622,246,23.7,True
51,VID_20220217_112117_F0.png,keypoint,870,669,NULL,False
53,VID_20220217_112117_F0.png,val_1,330,158,NULL,False
54,VID_20220217_112117_F0.png,keypoint,555,599,NULL,False
56,VID_20220217_112117_F0.png,val_1,270,158,NULL,False
58,VID_20220217_112117_F0.png,baya,652,246,28.66775,True
0,VID_20220217_112047_F0.png,baya,947,291,19.41589,True
4,VID_20220217_112047_F0.png,val_1,270,176,NULL,False
5,VID_20220217_112047_F0.png,baya,935,371,27.02125,True
7,VID_20220217_112047_F0.png,baya,627,302,28.87863,True
9,VID_20220217_112047_F0.png,baya,755,446,28.55244,True
11,VID_20220217_112047_F0.png,baya,972,322,29.22236,True
13,VID_20220217_112047_F0.png,baya,579,276,28.56309,True
15,VID_20220217_112047_F0.png,baya,834,393,29.27672,True
17,VID_20220217_112047_F0.png,baya,875,359,24.26797,True
19,VID_20220217_112047_F0.png,baya,603,421,30.67657,True
21,VID_20220217_112047_F0.png,baya,480,428,29.31028,True
23,VID_20220217_112047_F0.png,baya,556,250,28.16155,True
25,VID_20220217_112047_F0.png,baya,540,332,29.2219,True
27,VID_20220217_112047_F0.png,baya,590,321,29.2318,True
29,VID_20220217_112047_F0.png,keypoint,228,478,NULL,False
30,VID_20220217_112047_F0.png,baya,791,271,24.80563,True
32,VID_20220217_112047_F0.png,keypoint,347,689,NULL,False
34,VID_20220217_112047_F0.png,baya,707,270,26.03532,True
36,VID_20220217_112047_F0.png,baya,995,395,31.09434,True
38,VID_20220217_112047_F0.png,baya,508,475,26.39661,True
40,VID_20220217_112047_F0.png,baya,778,395,30.49323,True
42,VID_20220217_112047_F0.png,cal_1,396,178,NULL,False
44,VID_20220217_112047_F0.png,baya,616,217,29.06113,True
46,VID_20220217_112047_F0.png,baya,838,344,28.70859,True
48,VID_20220217_112047_F0.png,baya,911,277,21.41821,True
50,VID_20220217_112047_F0.png,baya,782,352,29.43127,True
52,VID_20220217_112047_F0.png,baya,799,306,28.94095,True
54,VID_20220217_112047_F0.png,baya,828,287,25.433,True
57,VID_20220217_112047_F0.png,baya,1023,339,26.06644,True
59,VID_20220217_112047_F0.png,baya,542,282,27.87529,True
61,VID_20220217_112047_F0.png,keypoint,964,599,NULL,False
64,VID_20220217_112047_F0.png,cal_2,459,179,NULL,False
65,VID_20220217_112047_F0.png,keypoint,502,626,NULL,False
66,VID_20220217_112047_F0.png,baya,462,466,29.21768,True
68,VID_20220217_112047_F0.png,val_2,302,176,NULL,False
70,VID_20220217_112047_F0.png,baya,626,263,27.33702,True
72,VID_20220217_112047_F0.png,val_1,207,174,NULL,False
74,VID_20220217_112047_F0.png,baya,720,375,32.31242,True
76,VID_20220217_112047_F0.png,baya,1011,422,28.66119,True
78,VID_20220217_112047_F0.png,baya,490,359,29.34499,True
80,VID_20220217_112047_F0.png,baya,885,288,28.32047,True
82,VID_20220217_112047_F0.png,baya,669,297,28.89631,True
84,VID_20220217_112047_F0.png,baya,675,386,30.06417,True
86,VID_20220217_112047_F0.png,baya,752,248,27.01027,True
88,VID_20220217_112047_F0.png,baya,709,243,26.54795,True
90,VID_20220217_112047_F0.png,baya,640,323,30.00529,True
93,VID_20220217_112047_F0.png,val_2,365,178,NULL,False
94,VID_20220217_112047_F0.png,baya,493,340,27.0097,True
96,VID_20220217_112047_F0.png,baya,998,362,27.46883,True
98,VID_20220217_112047_F0.png,baya,697,334,27.77131,True
100,VID_20220217_112047_F0.png,baya,528,382,29.41035,True
102,VID_20220217_112047_F0.png,baya,579,367,27.50503,True
104,VID_20220217_112047_F0.png,baya,892,409,32.49335,True
106,VID_20220217_112047_F0.png,baya,659,229,25.5232,True
108,VID_20220217_112047_F0.png,baya,930,305,23.25983,True
110,VID_20220217_112047_F0.png,baya,741,306,26.16847,True
112,VID_20220217_112047_F0.png,baya,911,317,29.22959,True
0,VID_20220217_111957_F0.png,baya,577,211,24.42642,True
2,VID_20220217_111957_F0.png,baya,786,380,25.2232,True
4,VID_20220217_111957_F0.png,baya,512,285,29.20223,True
6,VID_20220217_111957_F0.png,baya,939,395,25.42833,True
9,VID_20220217_111957_F0.png,val_2,393,166,NULL,False
10,VID_20220217_111957_F0.png,baya,743,289,24.86765,True
12,VID_20220217_111957_F0.png,baya,661,299,25.56345,True
14,VID_20220217_111957_F0.png,baya,884,410,28.57009,True
16,VID_20220217_111957_F0.png,baya,592,259,27.94512,True
18,VID_20220217_111957_F0.png,baya,965,422,29.44911,True
20,VID_20220217_111957_F0.png,baya,882,325,29.91354,True
22,VID_20220217_111957_F0.png,baya,709,462,30.42515,True
25,VID_20220217_111957_F0.png,baya,680,377,28.74665,True
27,VID_20220217_111957_F0.png,baya,809,339,26.8881,True
29,VID_20220217_111957_F0.png,keypoint,819,659,NULL,False
30,VID_20220217_111957_F0.png,baya,713,309,28.29311,True
32,VID_20220217_111957_F0.png,keypoint,517,589,NULL,False
33,VID_20220217_111957_F0.png,keypoint,866,532,NULL,False
34,VID_20220217_111957_F0.png,baya,660,257,27.02961,True
36,VID_20220217_111957_F0.png,baya,836,423,27.73536,True
38,VID_20220217_111957_F0.png,baya,781,421,30.73775,True
40,VID_20220217_111957_F0.png,val_2,334,165,NULL,False
43,VID_20220217_111957_F0.png,baya,552,238,26.65802,True
46,VID_20220217_111957_F0.png,val_1,246,164,NULL,False
48,VID_20220217_111957_F0.png,baya,737,382,31.45791,True
51,VID_20220217_111957_F0.png,val_1,305,164,NULL,False
53,VID_20220217_111957_F0.png,cal_2,628,168,NULL,False
54,VID_20220217_111957_F0.png,baya,911,369,28.98862,True
56,VID_20220217_111957_F0.png,baya,595,389,28.97482,True
59,VID_20220217_111957_F0.png,baya,940,341,29.88729,True
61,VID_20220217_111957_F0.png,baya,856,365,27.97159,True
63,VID_20220217_111957_F0.png,baya,759,323,29.09089,True
65,VID_20220217_111957_F0.png,baya,616,218,27.94155,True
67,VID_20220217_111957_F0.png,baya,819,295,26.56501,True
69,VID_20220217_111957_F0.png,cal_1,568,168,NULL,False
71,VID_20220217_111957_F0.png,baya,531,388,26.78003,True
73,VID_20220217_111957_F0.png,baya,896,316,29.1671,True
75,VID_20220217_111957_F0.png,baya,915,434,28.90848,True
77,VID_20220217_111957_F0.png,baya,631,331,27.9034,True
79,VID_20220217_111957_F0.png,keypoint,377,645,NULL,False
80,VID_20220217_111957_F0.png,baya,663,372,31.62991,True
82,VID_20220217_111957_F0.png,baya,979,374,27.29707,True
84,VID_20220217_111957_F0.png,baya,569,312,29.44368,True
86,VID_20220217_111957_F0.png,baya,678,320,23.46487,True
88,VID_20220217_111957_F0.png,baya,553,335,29.42057,True
0,VID_20220217_111920_F0.png,baya,951,326,24.18471,True
2,VID_20220217_111920_F0.png,baya,652,348,22.01182,True
4,VID_20220217_111920_F0.png,cal_1,603,192,NULL,False
6,VID_20220217_111920_F0.png,keypoint,840,630,NULL,False
7,VID_20220217_111920_F0.png,keypoint,1028,546,NULL,False
9,VID_20220217_111920_F0.png,val_2,443,190,NULL,False
10,VID_20220217_111920_F0.png,keypoint,567,570,NULL,False
12,VID_20220217_111920_F0.png,val_2,390,189,NULL,False
16,VID_20220217_111920_F0.png,val_1,308,188,NULL,False
18,VID_20220217_111920_F0.png,keypoint,433,626,NULL,False
20,VID_20220217_111920_F0.png,baya,501,292,18.56071,True
22,VID_20220217_111920_F0.png,baya,503,362,21.53346,True
24,VID_20220217_111920_F0.png,baya,527,314,18.32183,True
26,VID_20220217_111920_F0.png,baya,728,319,21.78623,True
28,VID_20220217_111920_F0.png,baya,679,386,22.1822,True
30,VID_20220217_111920_F0.png,baya,515,229,22.2036,True
32,VID_20220217_111920_F0.png,baya,685,427,24.10519,True
34,VID_20220217_111920_F0.png,baya,523,412,22.24698,True
37,VID_20220217_111920_F0.png,val_1,362,189,NULL,False
38,VID_20220217_111920_F0.png,baya,622,316,23.34489,True
40,VID_20220217_111920_F0.png,baya,895,286,22.98391,True
42,VID_20220217_111920_F0.png,baya,847,376,22.12691,True
44,VID_20220217_111920_F0.png,baya,949,278,24.07841,True
46,VID_20220217_111920_F0.png,baya,689,335,18.60672,True
48,VID_20220217_111920_F0.png,baya,833,427,24.15988,True
50,VID_20220217_111920_F0.png,baya,852,314,23.937,True
52,VID_20220217_111920_F0.png,baya,973,282,20.30394,True
54,VID_20220217_111920_F0.png,baya,902,377,24.39611,True
56,VID_20220217_111920_F0.png,baya,540,337,21.66887,True
58,VID_20220217_111920_F0.png,baya,559,233,21.94015,True
60,VID_20220217_111920_F0.png,baya,754,316,20.68163,True
62,VID_20220217_111920_F0.png,baya,781,423,25.34758,True
64,VID_20220217_111920_F0.png,baya,582,368,23.09329,True
66,VID_20220217_111920_F0.png,baya,882,344,20.89043,True
69,VID_20220217_111920_F0.png,cal_2,656,193,NULL,False
70,VID_20220217_111920_F0.png,baya,762,385,24.20021,True
72,VID_20220217_111920_F0.png,baya,623,373,23.52573,True
74,VID_20220217_111920_F0.png,baya,909,329,25.59473,True
76,VID_20220217_111920_F0.png,baya,917,252,23.09827,True
78,VID_20220217_111920_F0.png,baya,885,435,24.24912,True
80,VID_20220217_111920_F0.png,baya,587,262,22.09072,True
82,VID_20220217_111920_F0.png,baya,727,373,22.57189,True
84,VID_20220217_111920_F0.png,baya,754,352,22.09887,True
86,VID_20220217_111920_F0.png,baya,798,344,23.38055,True
88,VID_20220217_111920_F0.png,baya,600,299,21.13575,True
90,VID_20220217_111920_F0.png,baya,713,355,22.31815,True
0,VID_20220217_111836_F0.png,baya,631,253,22.72374,True
2,VID_20220217_111836_F0.png,val_2,456,161,NULL,False
4,VID_20220217_111836_F0.png,keypoint,972,521,NULL,False
5,VID_20220217_111836_F0.png,baya,627,418,24.93981,True
7,VID_20220217_111836_F0.png,baya,796,287,20.97992,True
9,VID_20220217_111836_F0.png,cal_2,540,161,NULL,False
11,VID_20220217_111836_F0.png,baya,783,406,25.29352,True
13,VID_20220217_111836_F0.png,baya,833,308,21.75065,True
16,VID_20220217_111836_F0.png,baya,722,337,27.49664,True
18,VID_20220217_111836_F0.png,baya,591,430,22.09626,True
20,VID_20220217_111836_F0.png,keypoint,584,529,NULL,False
21,VID_20220217_111836_F0.png,baya,821,387,19.3243,True
24,VID_20220217_111836_F0.png,val_1,375,160,NULL,False
26,VID_20220217_111836_F0.png,baya,654,294,23.86417,True
28,VID_20220217_111836_F0.png,baya,699,277,26.4579,True
30,VID_20220217_111836_F0.png,baya,653,383,24.55056,True
32,VID_20220217_111836_F0.png,baya,743,297,25.78591,True
34,VID_20220217_111836_F0.png,baya,589,259,22.13495,True
36,VID_20220217_111836_F0.png,baya,864,384,18.43702,True
38,VID_20220217_111836_F0.png,baya,654,272,22.86503,True
41,VID_20220217_111836_F0.png,baya,613,366,23.94405,True
44,VID_20220217_111836_F0.png,baya,632,458,24.45122,True
46,VID_20220217_111836_F0.png,baya,785,345,27.36974,True
48,VID_20220217_111836_F0.png,baya,892,321,23.17113,True
50,VID_20220217_111836_F0.png,baya,594,386,23.18845,True
